"Label","Use","X","Y","Z,"X1","Y1","Z1"
"Pt-1","true","571.4000834257129","38.85996261427087","287.05954372673494","452648.55251","93139.92952","92570.00000"
"Pt-2","true","715.811344117623","213.29935550601925","217.39349341361083","522281.22620","184067.51101","96170.00000"
"Pt-3","true","513.0021964171204","198.00196991524433","217.7940902918731","428709.40422","173896.29289","112490.00000"
"Pt-6","true","867.0125420793361","31.919253177127388","276.2234365959081","597983.72840","99751.25939","77210.00000"
"Pt-7","true","935.2108952754879","234.2295220490659","351.51806838323483","629671.13908","172411.92923","146130.00000"
"Pt-8","true","935.2108952754878","232.62607484011713","405.5007910845101","629619.44807","170960.55690","185690.00000"
"Pt-10","true","509.7629025010803","244.91917010872436","362.207716442893","431167.89292","165621.78991","169970.00000"
"Pt-11","true","509.2284200980973","281.1282802977446","403.4810249309661","431034.01714","173158.66812","207570.00000"
"Pt-12","true","509.2284200980973","165.8783521612159","401.67081663562794","431067.06600","125933.98817","189530.00000"
"Pt-14","true","1106.8502559564915","372.7202309162094","222.01043501894821","711693.57043","255005.95987","112370.00000"
"Pt-17","true","718.4718868522751","242.59405545009426","355.6946559896686","531147.13113","165596.37696","164690.00000"
"Pt-18","true","776.9946603281343","213.3326687121647","378.5679935101629","566553.70392","148588.84582","171010.00000"
"Pt-19","true","839.6387558797582","287.10433386835336","382.68931558592766","587837.88739","180081.57246","180930.00000"
"Pt-20","true","601.2202737967684","288.546796594871","382.68931558592755","479280.40302","176736.32052","190650.00000"
"Pt-21","true","653.3549980551924","221.57531286369414","380.62865454804523","500674.10466","148114.96882","175570.00000"
"Pt-23","true","646.4883402511584","588.6012857510907","222.43882378261782","502575.48288","335382.58702","185730.00000"
"Pt-24","true","769.5129998227683","605.9426608984604","204.25735915888828","555581.94723","350072.58140","171770.00000"
"Pt-25","true","1150.4869621176706","201.7028363749862","365.0069895786869","733420.58828","150235.51973","148850.00000"
"Pt-26","true","1045.917884758861","168.05378228386516","215.0840836799943","685721.20240","174535.09765","69010.00000"
"Pt-27","true","389.1563627312194","177.03002176488076","206.10784419897874","369102.73778","163299.78880","105530.00000"
"Pt-39","true","294.9652422689833","198.5574229445774","355.9024565858708","324466.72147","140513.45357","176370.00000"
"Pt-40","true","241.67440483911196","211.2053856216953","350.8354081384314","301551.10233","160812.94953","176330.00000"
"Pt-45","true","325.9131522536627","597.7178607192473","158.23297942845966","340439.94692","338511.32891","171370.00000"
"Pt-46","true","197.77912515879143","449.1154547643964","319.6325961956172","306721.31760","285788.00937","222570.00000"
"Pt-47","true","120.67323681793641","274.52403089764994","323.29304325027624","233970.70852","216898.42858","181130.00000"
"Pt-48","true","162.5140705515514","275.24053661327343","425.5133751721878","285329.97141","165265.16552","232170.00000"
"Pt-49","true","413.3631784476456","161.16905704024248","316.8232975288556","382975.03161","140004.69859","148010.00000"
"Pt-51","true","732.8605807191925","262.06885472207796","208.87087549176067","532898.73268","206010.43910","102290.00000"
"Pt-52","true","763.4151766954456","262.35758907720447","225.77664124566945","549390.72945","198856.78384","104690.00000"
"Pt-56","true","1021.5445054527372","379.9609490765142","136.36467126088974","669081.39112","282895.13408","73570.00000"
"Pt-57","true","1212.4783549148124","422.50773088808637","128.28765053641837","744117.77276","289198.75601","100570.00000"
"Pt-58","true","1249.022948006168","401.20869039325044","365.68265217426233","756770.43778","233838.39478","201210.00000"
"Pt-59","true","1174.4594010004075","631.8302417273517","248.4578901589848","745426.79130","353741.59323","198210.00000"
"Pt-60","true","1077.1312823374756","573.6656279992312","299.8459637474152","674383.48922","325491.72872","198210.00000"
"Pt-61","true","1112.7070053967182","339.48705142282415","401.7290719979501","683083.73240","207176.57967","198210.00000"
"Pt-62","true","1306.1523192396853","263.30352891254006","411.0718819265021","786588.21041","167549.40004","198210.00000"
"Pt-63","true","1328.8858950961148","469.20295599201927","354.47855116199935","786677.89222","254611.09888","219570.00000"
"Pt-64","true","549.6953571288032","583.200481345586","162.32429127430078","436912.76324","324178.37605","168170.00000"
"Pt-65","true","765.1116414323915","188.70754337555263","178.33251614694018","543573.35551","191839.65216","66490.00000"
"Pt-66","true","785.3950470781419","425.643468236085","15.250799922047008","559872.13134","319743.96871","42890.00000"
"Pt-67","true","491.9621673497604","447.69118739379337","309.37693635417963","416103.30875","250372.66304","202210.00000"
"Pt-68","true","636.6000452274457","582.2309977748082","304.4507903578342","475830.71706","301556.34419","209250.00000"
"Pt-69","true","751.5368282011477","622.072157321265","324.54432199610164","549640.24049","318609.41006","227370.00000"
"Pt-70","true","248.69636342581362","386.7766392016201","133.64117269747658","302964.95550","281042.97302","132490.00000"
"Pt-71","true","371.32330778148025","241.13745671825018","246.95855910438695","352169.78105","181165.81788","132490.00000"
"Pt-72","true","125.36981151637156","356.45723244693363","424.6777629648568","276797.97703","219427.39944","262690.00000"
"Pt-74","true","297.17451123706996","286.0593528385507","401.86581728386227","328386.84311","172810.07479","224210.00000"
"Pt-75","true","120.65146736014867","261.44367753271945","422.6251154279453","234777.77993","172816.19726","231650.00000"
"Pt-76","true","371.76250065496424","362.3004842773662","386.60631434313837","372980.94053","200288.03618","221410.00000"
"Pt-77","true","863.6580949893687","20.518004114972427","305.28403045654704","593603.30861","92810.42657","83490.00000"
"Pt-78","true","877.345001544687","69.2778649716929","262.2220828456193","602868.26602","116579.03233","72130.00000"
"Pt-79","true","887.6923663620837","116.6893016952672","198.29596992961888","610288.77225","156950.02030","53170.00000"
"Pt-80","true","456.7992982220021","163.7518523769686","410.3807001877867","413863.96719","120784.67424","191690.00000"
"Pt-81","true","457.28084261505865","92.26042940813932","414.8147994137835","413852.29378","90986.89021","166370.00000"
"Pt-82","true","543.160798686964","46.12096365459729","309.74346302870254","441975.73748","86917.20361","110370.00000"
"Pt-83","true","610.5968730244786","134.29354212305043","334.08199500913906","475296.61740","125533.81207","138170.00000"
"Pt-84","true","687.3255473581376","150.56256687175483","339.67920250599855","517263.70292","128112.32095","138170.00000"
"Pt-85","true","637.3402202413417","37.40585221737274","246.20517610352545","485242.97299","96222.31861","71650.00000"
"Pt-86","true","601.414471527678","48.825801787985256","235.55270261364785","457831.17999","104453.55021","71610.00000"
"Pt-87","true","470.449787335936","113.37604654653114","185.97815301611263","412030.98112","138864.07743","73410.00000"
"Pt-88","true","646.9302213749615","287.958440193499","201.1203575587715","497279.33603","219274.50485","105090.00000"
"Pt-89","true","617.915989104542","393.59539558866527","128.4556845240877","479027.56074","271535.49864","106370.00000"
"Pt-90","true","539.2478825274738","159.18572411505738","362.2676937520155","448674.24360","130207.78993","162450.00000"
"Pt-91","true","599.1029200131306","299.8797574584023","339.71151450733305","475926.72949","189961.38992","167490.00000"
"Pt-92","true","524.0257140353788","228.59402411337942","80.51068050613685","429797.95617","217577.24482","44090.00000"
"Pt-94","true","568.7742305825232","195.81066239980282","147.47251956927357","447836.97057","191439.84681","65130.00000"
"Pt-95","true","559.2318780489732","216.64858629275113","115.06091851781093","451519.54384","210581.92221","56690.00000"
"Pt-96","true","694.7295745247975","181.0488151977479","208.6696747370297","512870.30903","173766.69236","83770.00000"
"Pt-97","true","522.7734033139423","153.64998622931307","152.3681715865241","424640.54038","170581.37292","65530.00000"
"Pt-98","true","723.9279860765673","208.763110978005","156.2077440317662","521831.69682","191068.91849","65970.00000"
"Pt-99","true","561.4849348533317","406.58976083341986","139.8690317413566","439466.46302","277545.99824","114090.00000"
"Pt-102","true","589.7660375072155","374.1182917446713","65.8079775267106","456352.87188","278597.04925","70090.00000"
"Pt-104","true","528.9953708220273","249.36156880564522","52.77704300153346","429676.66802","236514.63603","40730.00000"
"Pt-105","true","559.3112369945738","311.4905429012142","38.996923402592074","446618.22446","267006.18319","40730.00000"
"Pt-106","true","536.0237015379244","280.8539545223466","42.25105795739364","428367.68467","251924.95898","39490.00000"
"Pt-108","true","529.8429772388772","190.66314502386376","99.95127323497582","443230.74839","198592.95262","46970.00000"
"Pt-109","true","588.302174684708","180.8090762590873","73.79142205506287","465844.96675","208599.05745","30690.00000"
"Pt-110","true","523.6692323447787","255.8240811598953","96.18388584510103","432492.21029","227552.49310","60610.00000"
"Pt-111","true","519.9192543001845","323.3445860003703","95.62595902715111","429683.45291","249419.19110","75450.00000"
"Pt-112","true","644.9660527190426","227.95423705189023","49.43939819811203","492193.75488","238802.81943","27250.00000"
"Pt-114","true","596.888811634155","313.78083140740637","28.382939385373902","467819.33716","269302.46653","39970.00000"
"Pt-115","true","549.6726241451688","232.40734030673048","27.729507301552076","435040.37602","233295.12173","26130.00000"
"Pt-116","true","793.1537482405547","291.4000787544064","203.01113608380547","552455.85576","221921.46613","96770.00000"
"Pt-117","true","932.007649551495","190.30623911961447","207.65353470059927","623013.42412","182940.90064","78450.00000"
"Pt-118","true","913.0379764359677","127.35328165942337","214.3247480432983","619930.57008","154914.40236","69970.00000"
"Pt-119","true","1049.5826096723322","275.4178135294933","194.25617120727838","678237.00927","226048.51339","77010.00000"
"Pt-121","true","778.8554858162533","329.78344956901856","110.36328972788033","553028.84324","264726.98214","62130.00000"
"Pt-122","true","766.8179695114959","238.3089110503206","129.28220276947104","546444.08409","223189.56528","44570.00000"
"Pt-126","true","821.194032972795","165.3161516453256","170.20768472635245","580525.93614","184086.01847","57290.00000"
"Pt-127","true","814.9952124862466","231.24334063980496","335.4037183952314","568776.96249","173762.49179","141290.00000"
"Pt-128","true","988.4672127250815","148.08581190783298","377.28153272584314","658393.26251","134549.67844","155290.00000"
"Pt-129","true","991.9384788324824","171.66402527023456","374.07560332652065","658495.34474","144755.04744","155290.00000"
"Pt-130","true","955.0846312299836","81.15811508666957","394.58468626931426","644418.39226","104919.95787","146170.00000"
"Pt-131","true","858.8541714212624","137.3601942616515","305.952215822399","585830.63734","138039.88741","110010.00000"
"Pt-132","true","902.7680455597583","109.49854052218143","349.66069727808645","616449.02939","117824.63100","131010.00000"
"Pt-133","true","1063.1323858718388","180.5039476879174","294.7871976996976","693223.46041","164470.48838","113490.00000"
"Pt-139","true","1031.4632570376853","60.62717042758595","298.219619519572","685758.21913","117625.93077","97370.00000"
"Pt-140","true","1072.7554020497482","89.46013925172156","292.4540892919322","702683.04319","128131.18072","103650.00000"
"Pt-141","true","906.2379061093088","36.4373725860205","347.6736138510605","617033.41501","90810.06856","110690.00000"
"Pt-142","true","894.3160025214311","179.67182360845618","111.32961234654067","611890.76120","221758.46691","22570.00000"
"Pt-143","true","806.9352736897999","307.3956395603018","41.45363665969853","563806.19351","280371.47542","24410.00000"
"Pt-144","true","840.9155923367944","187.58365390170366","109.41778887138207","586641.91184","218173.93900","24410.00000"
"Pt-145","true","882.295591166243","302.0755787853268","46.33198954963882","604036.94396","281981.24718","24410.00000"
"Pt-146","true","918.1659953709459","212.11489311273908","98.60478396856706","619402.54915","233517.39238","21330.00000"
"Pt-147","true","895.6440072924597","278.9285932732164","131.98688586511707","612186.49597","239155.50388","56850.00000"
"Pt-148","true","760.4790707296925","261.923946842493","138.44279962024302","544927.76232","238414.38552","56850.00000"
"Pt-150","true","1019.6740221664077","349.16787593840854","149.33954968371108","664478.40014","266913.25773","65730.00000"
"Pt-151","true","920.9986223716987","280.81417181907455","97.82217218028381","627252.48393","257166.21575","39090.00000"
"Pt-152","true","921.7953482542653","243.70018724212423","69.01316267272341","618936.48538","257163.78164","15970.00000"
"Pt-153","true","1026.146938804537","218.11494897323428","158.3609732796176","669219.14859","208540.95727","46330.00000"
"Pt-154","true","815.5028732860228","393.53223703894764","138.96905585867353","569617.44188","281010.06260","90930.00000"
"Pt-155","true","794.5534560671076","205.37576415843796","107.90936119203252","568163.06368","215142.53363","29170.00000"
"Pt-156","true","801.2242671782151","199.57121560833184","76.64451588105658","568709.06201","225906.44623","10610.00000"
"Pt-158","true","814.969775945181","322.0938231598702","38.20409514294079","568707.92805","283366.33935","29370.00000"
"Pt-159","true","838.3868891476886","377.8414892248693","71.16518890005682","583887.62022","290946.45032","63650.00000"
"Pt-160","true","411.8687601995771","62.661296969105024","313.62719495205965","394770.45529","91114.42354","119370.00000"
"Pt-161","true","496.82035884365905","48.4887905131327","281.87704640177253","417384.40027","91242.66354","105210.00000"
"Pt-162","true","428.93242870940594","105.46845938524348","259.4629771335167","387752.38310","120407.12238","112410.00000"
"Pt-163","true","348.19069555489114","135.0724614415958","325.8029983846063","351388.65576","120410.06520","153970.00000"
"Pt-164","true","709.1743234543828","290.4448134896229","186.96498847020848","519860.99361","220076.89037","101970.00000"
"Pt-165","true","699.9468384936918","306.797502258094","238.26756803164608","521284.79831","208677.12690","125890.00000"
"Pt-166","true","608.1119857765734","187.71150129719172","274.79126703618385","471366.88062","156206.13127","119490.00000"
"Pt-167","true","714.0974740885431","140.92094753604033","311.9910157360864","520693.33982","131657.18421","119490.00000"
"Pt-168","true","772.3867599320365","182.61529372926452","314.80398979771417","549530.67297","144659.72365","128770.00000"
"Pt-169","true","768.2635291280458","248.1693543260044","300.4274142358481","549536.57652","181351.05027","139530.00000"
"Pt-170","true","826.6156551198801","180.4320663358376","267.9390460947907","581169.39463","162267.37772","105410.00000"
"Pt-171","true","785.7634299328784","208.03503616797389","306.1217676735396","560705.38412","163374.95087","133450.00000"
"Pt-172","true","811.7053972609574","59.21031601654249","162.54342233875286","566216.67092","134806.13211","28690.00000"
"Pt-173","true","322.4938424357679","314.56546032603364","221.6334066875279","326651.31976","225649.92802","141410.00000"
"Pt-174","true","405.40233188471757","406.3291318885167","182.38558414690488","370757.18479","267784.42923","141410.00000"
"Pt-175","true","370.4399438460241","96.40938439636375","329.0868616352964","365913.69661","102110.27835","138610.00000"
"Pt-176","true","912.5392652542796","228.67121568429866","427.4470805807796","622000.79258","159658.74336","202770.00000"
"Pt-177","true","976.292275046464","123.25037769193295","411.1840396603802","646027.70799","122130.39408","165330.00000"
"Pt-178","true","1129.1424726734404","227.7042762840574","380.8102788783726","722715.06757","167182.74163","162130.00000"
"Pt-179","true","341.23644622665597","173.6231794061896","404.9548990551557","351961.32531","124966.35811","194090.00000"
