x_mcns,y_mcns,z_mcns,x_banc,y_banc,z_banc
65319,208146,279817,118834,142836,145730
65319,208146,309817,122311,171460,152858
65319,238146,279817,118903,156510,124176
65319,238146,309817,122146,183473,132195
65319,268146,279817,115745,167695,104015
65319,268146,309817,117969,194989,113365
65319,298146,279817,110593,175930,83740
65319,298146,309817,112546,203572,93364
65319,328146,309817,106475,209298,71489
95319,178146,279817,150987,129900,166960
95319,178146,309817,155294,161136,177115
95319,208146,249817,143088,110253,137420
95319,208146,279817,149543,139515,145936
95319,208146,309817,154134,170938,156321
95319,238146,249817,141416,123007,114592
95319,238146,279817,148914,152049,124322
95319,238146,309817,152345,183138,135009
95319,268146,249817,137262,133120,92326
95319,268146,279817,144249,163783,103864
95319,268146,309817,148278,194701,114562
95319,298146,249817,132034,143390,71418
95319,298146,279817,138081,173384,83315
95319,298146,309817,140694,202430,93159
95319,328146,249817,125063,151372,48788
95319,328146,279817,130506,180034,61710
95319,328146,309817,131989,207432,71743
95319,358146,279817,120905,184124,39220
95319,358146,309817,120511,211486,48147
125319,148146,249817,189992,101456,181284
125319,148146,279817,192689,128139,188858
125319,178146,249817,185545,106308,158535
125319,178146,279817,190767,133418,167896
125319,178146,309817,189473,163454,180501
125319,208146,219817,175836,92110,128541
125319,208146,249817,180837,115523,136860
125319,208146,279817,185733,142106,146163
125319,238146,219817,169622,102113,105905
125319,238146,249817,175535,127735,115130
125319,238146,279817,180593,154596,124580
125319,238146,309817,180226,183237,137091
125319,268146,219817,162760,110191,82553
125319,268146,249817,167839,136385,93408
125319,268146,279817,172949,164812,104883
125319,298146,219817,154646,117684,60434
125319,298146,249817,157676,143919,71947
125319,298146,279817,163443,172929,84060
125319,298146,309817,165414,202900,93571
125319,328146,249817,150350,151134,50929
125319,328146,279817,155023,178092,63631
125319,328146,309817,155878,206286,72954
125319,358146,249817,142818,158939,31286
125319,358146,279817,145306,183333,42831
125319,358146,309817,146558,208363,51922
125319,388146,279817,137999,188063,22919
125319,388146,309817,138444,211736,30616
155319,148146,249817,232939,109007,187534
155319,148146,279817,233394,137267,195073
155319,178146,219817,225829,90116,155413
155319,178146,249817,229510,114821,163896
155319,178146,279817,230747,141753,172927
155319,178146,309817,224559,167293,183358
155319,208146,219817,220456,100857,132180
155319,208146,249817,221572,126700,141518
155319,208146,279817,221884,151450,151661
155319,208146,309817,217730,176521,163092
155319,238146,219817,212402,113349,109504
155319,238146,249817,212952,140269,118683
155319,238146,279817,214106,164346,129757
155319,238146,309817,211771,189148,139770
155319,268146,189817,203694,99584,78175
155319,268146,219817,201738,122357,87772
155319,268146,249817,200184,148544,97259
155319,268146,309817,203577,198931,116459
155319,298146,219817,190083,127804,66298
155319,298146,249817,190286,153564,78505
155319,298146,309817,192832,204322,95318
155319,328146,219817,180122,135591,45926
155319,328146,249817,180383,157114,57026
155319,328146,279817,182627,181301,70228
155319,358146,249817,171396,163209,36690
155319,358146,279817,173702,185268,48847
155319,358146,309817,174498,208799,56582
155319,388146,249817,164787,171149,16919
155319,388146,279817,166121,190756,27186
155319,388146,309817,167506,211486,35552
185319,178146,249817,265157,126598,165095
185319,178146,279817,259475,155974,172852
185319,178146,309817,253609,187495,183004
185319,208146,249817,258203,139095,141503
185319,208146,279817,251044,164961,151943
185319,208146,309817,245774,192876,162466
185319,238146,249817,250928,152514,119677
185319,238146,279817,242326,175831,130620
185319,238146,309817,240894,200972,140405
185319,268146,219817,245853,136184,88891
185319,268146,249817,241340,159723,99538
185319,268146,279817,235688,185673,110761
185319,298146,189817,233739,119887,60747
185319,298146,219817,233042,141329,69537
185319,298146,249817,229537,165132,80938
185319,298146,279817,227187,189959,91409
185319,298146,309817,226985,212685,97436
185319,328146,219817,217366,146177,50958
185319,328146,249817,216942,168897,62824
185319,328146,309817,216136,213644,77320
185319,358146,219817,203643,152374,31308
185319,358146,249817,202860,173723,41126
185319,358146,279817,204545,194294,51831
185319,388146,249817,195165,181140,20374
185319,388146,279817,196423,200343,27982
185319,388146,309817,197082,217657,34255
215319,88146,219817,291504,108498,223692
215319,88146,249817,297814,135952,229807
215319,118146,189817,292638,86421,196804
215319,118146,219817,293208,111426,199925
215319,118146,249817,295577,142224,207297
215319,148146,219817,295821,117956,177439
215319,148146,249817,294861,146101,181273
215319,178146,159817,308608,81149,150042
215319,178146,189817,302906,104496,154538
215319,178146,219817,295544,126007,157077
215319,178146,279817,288156,176095,167224
215319,178146,309817,284612,202078,178552
215319,208146,159817,306539,96188,123430
215319,208146,189817,303064,118922,129249
215319,208146,219817,295266,139301,134140
215319,208146,249817,287732,158097,138721
215319,208146,279817,280353,178532,146055
215319,208146,309817,277270,203128,158546
215319,238146,159817,302174,105374,98699
215319,238146,189817,298210,128599,105233
215319,238146,219817,290809,148330,110274
215319,238146,249817,283148,167527,117329
215319,238146,279817,275574,185994,125589
215319,238146,309817,270991,211675,137854
215319,268146,219817,285588,152684,89562
215319,268146,249817,277697,173806,97689
215319,268146,279817,271069,194118,107280
215319,268146,309817,267056,218034,118078
215319,298146,249817,269047,176621,80458
215319,298146,279817,263676,200311,88874
215319,328146,249817,253768,181245,58966
215319,328146,279817,251786,203395,67520
215319,328146,309817,250265,223864,73821
215319,358146,249817,235959,185485,39155
215319,358146,279817,237820,207370,45718
215319,358146,309817,239398,226693,53487
245319,88146,189817,320136,94247,224908
245319,88146,219817,323543,115683,227825
245319,88146,249817,328017,142379,230932
245319,118146,159817,335491,81946,194158
245319,118146,189817,327270,101187,197751
245319,118146,219817,328705,123951,204368
245319,118146,249817,331779,150501,208205
245319,148146,159817,339932,87708,172814
245319,148146,189817,332709,108934,175706
245319,148146,219817,329467,130739,179973
245319,148146,249817,328303,157623,182788
245319,148146,279817,325304,187220,189625
245319,178146,159817,340947,92349,150167
245319,178146,189817,333328,116084,154492
245319,178146,219817,330870,139335,156211
245319,178146,249817,323584,163301,159180
245319,178146,279817,318959,190640,166634
245319,208146,159817,339583,105636,124269
245319,208146,189817,336507,129800,129093
245319,208146,219817,329532,149384,133096
245319,238146,159817,337051,112594,98201
245319,238146,189817,334737,137797,105185
245319,238146,219817,323680,161087,109482
245319,238146,309817,307099,217231,137864
245319,268146,159817,333078,120705,73488
245319,268146,189817,329558,145639,82667
245319,268146,279817,305845,202368,105850
245319,268146,309817,302377,223037,117008
245319,298146,249817,300897,190386,77494
245319,298146,279817,297080,208433,85397
245319,298146,309817,293015,229218,94683
245319,328146,249817,291420,194996,56372
245319,328146,279817,287342,215559,64174
245319,328146,309817,283331,234661,73324
275319,58146,189817,349490,96749,252428
275319,58146,219817,352125,116032,255609
275319,88146,189817,358584,104475,224055
275319,88146,219817,356790,123848,229839
275319,88146,249817,357890,148626,234114
275319,118146,159817,371135,91514,194024
275319,118146,189817,367159,108372,198819
275319,118146,219817,361189,129836,206577
275319,118146,249817,360288,157047,212538
275319,148146,159817,367508,96962,174086
275319,148146,189817,362835,113748,178463
275319,148146,219817,361585,135282,183613
275319,148146,249817,359161,162804,188091
275319,148146,279817,353992,191058,191607
275319,178146,159817,368198,99257,152039
275319,178146,189817,361283,122433,154634
275319,178146,219817,361437,145001,157777
275319,178146,249817,356617,170003,164682
275319,208146,159817,369784,109244,125946
275319,208146,189817,367352,131536,131148
275319,208146,219817,360995,153708,135969
275319,208146,249817,352435,177797,141718
275319,208146,279817,344541,202489,151307
275319,238146,159817,372052,115137,101770
275319,238146,189817,365380,140442,108142
275319,238146,219817,356086,164020,113044
275319,238146,249817,347232,189256,120199
275319,238146,279817,341005,211504,128317
275319,268146,189817,360823,149872,87946
275319,268146,219817,354001,173418,93572
275319,268146,249817,343689,199111,98156
275319,298146,189817,355528,158682,67276
275319,298146,219817,348752,181149,73839
275319,298146,279817,331124,220133,88367
305319,58146,189817,385109,106129,252016
305319,58146,219817,385406,127009,258505
305319,88146,159817,393240,89088,214390
305319,88146,189817,390620,110889,223902
305319,88146,219817,388931,131581,232634
305319,88146,249817,388854,157049,238730
305319,118146,129817,398197,75868,188400
305319,118146,159817,394163,94000,191013
305319,118146,189817,393410,114499,200868
305319,118146,219817,391226,135376,209926
305319,118146,249817,389604,161339,215673
305319,118146,279817,386038,192486,218453
305319,148146,129817,402977,76688,162394
305319,148146,189817,393663,116886,180207
305319,148146,219817,390220,138391,184790
305319,148146,249817,386564,165742,191952
305319,178146,159817,396436,104318,152712
305319,178146,189817,394711,126715,152290
305319,178146,219817,390227,146717,160036
305319,178146,249817,384984,171254,167641
305319,178146,279817,380487,199457,176078
305319,208146,99817,414701,62434,114753
305319,208146,129817,404344,85546,125115
305319,208146,159817,398298,112493,130676
305319,208146,189817,393694,138012,135389
305319,208146,249817,383366,180700,145672
305319,208146,279817,378450,203979,153564
305319,238146,99817,416578,68587,94933
305319,238146,129817,407492,91662,104157
305319,238146,159817,400856,116385,108305
305319,238146,189817,394818,144325,112653
305319,238146,249817,383521,191955,126641
305319,238146,279817,379197,215294,135572
305319,268146,189817,391742,150086,90911
305319,268146,219817,386970,176090,97477
305319,268146,249817,382206,202383,104999
305319,268146,279817,377419,226891,116321
305319,298146,189817,389444,161255,71382
305319,298146,219817,383935,185714,79713
305319,298146,249817,380230,211314,87779
305319,298146,279817,374778,233665,97854
305319,328146,219817,383019,196725,62269
305319,328146,249817,377905,218738,72233
335319,58146,189817,421456,112591,255960
335319,88146,129817,438564,75290,212896
335319,88146,159817,433410,94202,220299
335319,88146,189817,424889,116283,229801
335319,88146,219817,422899,138849,236941
335319,118146,129817,438081,76894,189665
335319,118146,159817,430891,100414,196672
335319,118146,189817,425550,120554,205356
335319,118146,219817,423483,142921,214175
335319,148146,129817,435346,82140,163556
335319,148146,159817,428814,105258,174060
335319,148146,189817,423742,125484,182069
335319,148146,219817,423123,144792,188760
335319,148146,249817,418839,171460,196379
335319,178146,129817,434861,84833,143104
335319,178146,159817,429476,111263,152598
335319,178146,189817,424326,133272,159616
335319,178146,219817,421773,149350,164882
335319,178146,249817,416171,176507,172950
335319,178146,279817,412301,204683,183525
335319,208146,99817,444916,63334,119693
335319,208146,129817,439650,88387,126272
335319,208146,159817,432817,115487,131605
335319,208146,189817,426914,140827,139482
335319,208146,249817,415663,183841,151410
335319,208146,279817,413226,209889,160771
335319,238146,99817,446892,72554,97947
335319,238146,129817,443272,97206,106245
335319,238146,159817,434640,121042,110881
335319,238146,189817,426428,145396,115873
335319,238146,219817,420508,170882,122686
335319,238146,249817,416490,194120,130623
335319,238146,279817,414434,219029,140323
335319,268146,129817,442686,109791,80701
335319,268146,159817,433405,129312,84366
335319,268146,219817,419415,178548,101488
335319,268146,249817,417488,203646,111563
335319,268146,279817,414196,229263,124117
335319,298146,159817,428940,144085,57534
335319,298146,189817,422554,163017,72129
335319,298146,219817,418752,187100,82840
335319,298146,249817,416343,212726,94620
335319,298146,279817,412526,238121,106431
335319,328146,159817,426447,158987,35856
335319,328146,189817,419250,178002,53364
335319,328146,219817,415468,201095,66140
335319,328146,249817,412275,224368,79004
335319,328146,279817,409209,247513,89419
335319,358146,189817,413214,191477,33713
335319,358146,219817,409530,213827,49376
335319,358146,249817,406238,235633,61592
365319,88146,129817,472840,69778,219321
365319,88146,159817,468847,94440,226306
365319,88146,189817,461572,117792,235046
365319,118146,99817,471927,41954,190096
365319,118146,129817,470598,73197,193599
365319,118146,159817,466095,101934,200016
365319,118146,189817,460623,123215,209805
365319,118146,219817,458345,146659,217686
365319,118146,249817,457736,169784,224765
365319,148146,129817,468036,77062,170873
365319,148146,159817,463407,109081,178113
365319,148146,189817,459963,130621,185580
365319,148146,249817,455009,172899,198751
365319,178146,159817,462809,113028,154237
365319,178146,189817,458975,135331,161253
365319,178146,219817,456509,155921,168124
365319,178146,249817,452292,178534,174539
365319,178146,279817,449800,206876,185031
365319,208146,129817,470554,91690,127677
365319,208146,189817,458222,140781,141634
365319,208146,249817,452389,187825,153168
365319,208146,279817,450218,214237,161534
365319,238146,129817,470822,99948,105613
365319,238146,159817,462844,123511,109392
365319,238146,189817,456208,147114,116199
365319,238146,219817,453426,172602,124855
365319,238146,249817,452390,197067,132404
365319,238146,279817,450333,223034,141771
365319,268146,159817,459359,132457,83490
365319,268146,189817,454128,154370,91114
365319,268146,219817,450889,180115,101885
365319,268146,249817,449834,206572,113966
365319,298146,129817,466578,130025,50346
365319,298146,159817,459019,148692,58406
365319,298146,189817,452452,167410,72248
365319,298146,219817,452097,190751,82720
365319,298146,249817,449550,216393,96412
365319,298146,279817,448499,240455,107851
365319,298146,309817,446876,263155,118314
365319,328146,129817,464691,143638,24164
365319,328146,159817,457134,163725,37017
365319,328146,189817,451758,181784,53952
365319,328146,219817,449418,203915,67712
365319,328146,249817,447398,227852,81469
365319,328146,279817,445590,253137,92819
365319,328146,309817,445852,275418,104450
365319,358146,189817,449896,197923,32723
365319,358146,219817,447568,217636,51076
365319,358146,249817,443740,241132,65561
395319,88146,129817,494838,71509,222668
395319,88146,159817,495554,96363,231014
395319,88146,189817,497010,117885,238643
395319,118146,129817,496265,74512,195677
395319,118146,159817,495692,102056,202722
395319,118146,189817,496021,123796,212546
395319,118146,219817,495179,147426,221274
395319,148146,159817,494057,109255,181892
395319,148146,189817,493045,131499,186037
395319,148146,219817,494704,154614,192535
395319,148146,249817,492591,177266,198780
395319,178146,159817,493161,114973,156341
395319,178146,189817,490676,136906,162841
395319,178146,249817,490562,183424,174086
395319,208146,189817,491350,144507,142604
395319,208146,249817,489638,190544,152417
395319,298146,159817,496234,153952,54577
395319,298146,189817,490397,172538,65971
395319,298146,219817,485354,195406,77909
395319,298146,249817,486079,221058,90800
395319,298146,279817,485974,245126,103297
395319,328146,159817,493152,167434,34031
395319,328146,189817,487474,186316,50257
395319,328146,219817,484113,208645,63225
395319,328146,249817,484634,233742,78055
395319,328146,279817,484980,257041,89652
395319,358146,189817,487001,200200,30438
395319,358146,219817,484997,222339,47213
425319,58146,159817,533705,92597,251344
425319,58146,189817,534309,115353,257839
425319,88146,129817,530055,71809,222591
425319,88146,159817,528710,94139,225405
425319,88146,189817,531210,118105,232187
425319,88146,219817,533775,140433,240030
425319,118146,99817,535260,51971,195554
425319,118146,129817,529801,78099,202216
425319,118146,159817,528858,101428,203689
425319,118146,189817,530660,123086,207870
425319,118146,219817,530690,145392,213743
425319,118146,249817,530779,171040,218068
425319,148146,99817,537575,57123,171291
425319,148146,129817,529890,85389,177958
425319,148146,189817,528105,129781,182051
425319,148146,249817,529260,174298,194618
425319,178146,129817,530869,90854,149833
425319,178146,159817,524092,116247,155118
425319,178146,219817,523878,153693,165940
425319,178146,249817,526624,179111,171696
425319,178146,279817,528461,209499,181536
425319,208146,99817,546107,74688,117606
425319,208146,129817,533760,97280,122693
425319,208146,189817,520298,142598,138769
425319,208146,219817,520235,162843,146288
425319,208146,249817,524588,186538,151597
425319,208146,279817,527530,214448,160365
425319,238146,99817,546066,82937,88749
425319,238146,129817,536348,104052,94096
425319,238146,159817,528767,124723,101245
425319,238146,189817,523949,147313,110973
425319,238146,219817,521447,173021,121979
425319,238146,249817,524237,196949,130868
425319,238146,279817,527715,221909,140969
425319,268146,159817,532314,136132,76250
425319,268146,189817,525002,155964,89048
425319,268146,219817,521822,179831,100799
425319,268146,249817,524399,206575,111602
425319,268146,279817,527405,231326,123066
425319,298146,129817,536521,132314,41140
425319,298146,159817,530982,151181,53379
425319,298146,189817,523627,170077,67939
425319,298146,219817,521341,192013,80579
425319,298146,249817,522206,216807,93832
425319,298146,279817,524979,240452,104801
425319,298146,309817,526696,263972,116709
425319,328146,159817,531157,166087,29645
425319,328146,219817,522753,205586,65520
425319,328146,249817,524141,229074,79329
425319,328146,279817,525070,252981,90058
425319,358146,189817,528556,200291,29115
425319,358146,219817,524791,219560,47767
425319,358146,249817,526156,241856,64178
455319,58146,159817,571825,95018,240736
455319,58146,189817,569385,117050,253284
455319,58146,219817,569969,136199,261711
455319,88146,159817,568977,92699,217852
455319,88146,189817,564723,119609,225008
455319,88146,219817,565815,139216,235445
455319,118146,129817,565882,76564,198694
455319,118146,159817,565654,99163,199198
455319,118146,189817,562782,120701,203990
455319,118146,219817,560544,141929,211020
455319,118146,249817,562424,168242,214326
455319,118146,279817,567603,203297,214162
455319,148146,129817,562780,86167,173390
455319,148146,189817,560540,123294,181500
455319,148146,219817,559257,144040,184579
455319,148146,249817,562933,172521,190393
455319,178146,99817,579276,64078,139580
455319,178146,129817,565534,90794,148134
455319,178146,159817,556903,114350,153719
455319,178146,189817,556101,135129,155946
455319,178146,219817,557627,151167,161301
455319,178146,249817,561441,176769,169126
455319,178146,279817,565757,205214,176566
455319,208146,99817,579784,73145,112626
455319,208146,129817,567079,96541,121458
455319,208146,159817,555907,119207,126496
455319,208146,189817,552447,143033,135733
455319,208146,249817,559543,183321,148848
455319,208146,279817,563903,210124,155961
455319,238146,99817,577108,82967,87325
455319,238146,129817,568622,105682,94572
455319,238146,159817,558294,125149,101104
455319,238146,189817,553962,148543,112158
455319,238146,249817,558374,193586,130763
455319,238146,279817,563251,218617,138783
455319,268146,189817,555491,155892,91871
455319,268146,219817,554479,178338,104578
455319,268146,249817,558487,202517,113460
455319,268146,279817,564263,227924,122721
455319,298146,159817,562893,148411,55495
455319,298146,189817,556557,166608,69597
455319,298146,219817,556095,187382,83944
455319,298146,249817,558290,212543,94538
455319,298146,279817,563767,236272,105278
455319,328146,189817,560072,179100,52282
455319,328146,219817,557869,199758,66970
455319,328146,249817,560305,222567,78670
455319,328146,279817,563799,245641,89077
485319,58146,189817,602996,117812,253288
485319,58146,219817,602067,135854,259430
485319,88146,159817,598245,94665,216889
485319,88146,189817,594637,119278,223137
485319,88146,219817,596871,137973,232190
485319,88146,249817,598698,161504,236562
485319,118146,129817,595493,78552,193177
485319,118146,159817,588413,100424,194067
485319,118146,189817,587719,118033,198690
485319,118146,219817,592581,140996,207767
485319,118146,249817,596137,166190,210744
485319,118146,279817,600746,196757,211599
485319,148146,129817,594293,77966,169468
485319,148146,159817,591536,101489,175429
485319,148146,189817,590684,122918,179894
485319,148146,219817,591209,144901,183218
485319,148146,249817,595419,169524,187292
485319,178146,99817,605666,62215,134899
485319,178146,159817,587771,107771,150463
485319,178146,189817,588983,130658,152463
485319,178146,219817,589855,149093,160061
485319,178146,249817,595103,172194,164720
485319,178146,279817,601841,201157,169071
485319,208146,99817,605844,69610,110636
485319,208146,129817,597743,89318,120211
485319,208146,159817,586587,113063,126490
485319,208146,189817,586461,134052,134326
485319,208146,219817,587639,155916,140359
485319,208146,249817,596189,179217,144843
485319,208146,279817,602663,206804,148568
485319,238146,129817,598026,100954,95300
485319,238146,249817,595878,189180,125156
485319,238146,279817,603883,215400,129984
485319,268146,129817,597506,111527,70573
485319,268146,159817,592726,131755,80672
485319,268146,189817,590784,153814,94259
485319,268146,219817,592242,175999,101373
485319,268146,249817,598279,200596,105041
485319,268146,279817,604319,224081,112432
485319,298146,189817,593454,163828,73574
485319,298146,219817,594254,185587,82379
485319,298146,249817,598797,207635,89158
515319,58146,189817,638538,116580,253443
515319,58146,219817,635016,133969,260430
515319,88146,189817,632459,118862,224400
515319,88146,219817,630518,137584,232825
515319,88146,249817,629039,159679,238311
515319,118146,129817,623071,79078,191177
515319,118146,159817,618032,101038,194195
515319,118146,189817,622921,121804,198839
515319,118146,219817,624762,141200,207193
515319,118146,249817,625308,164759,210960
515319,148146,189817,623225,121826,177432
515319,148146,219817,622384,144107,183122
515319,148146,249817,624814,167795,184793
515319,178146,159817,615843,100223,151546
515319,178146,189817,617851,125024,156545
515319,178146,219817,621727,146988,160858
515319,178146,249817,627177,172203,161552
515319,208146,159817,617166,104099,128804
515319,208146,189817,616198,128995,134292
515319,208146,219817,623687,153079,139724
515319,208146,249817,633382,177158,139582
515319,208146,279817,639771,202093,139104
515319,238146,159817,619474,116345,106777
515319,238146,189817,620197,138951,113334
515319,238146,219817,626483,160675,117145
515319,238146,249817,636965,183387,118036
515319,268146,189817,623206,147936,92016
515319,268146,219817,629387,167580,96129
515319,268146,279817,646041,207609,103955
515319,268146,309817,649716,230885,107176
515319,298146,249817,643908,191194,86695
515319,298146,279817,649510,214452,88613
545319,88146,189817,668613,109332,224671
545319,88146,219817,660808,131263,232042
545319,88146,249817,656576,156523,239824
545319,118146,159817,657159,93032,195720
545319,118146,189817,662015,114631,198964
545319,118146,219817,658248,136219,204973
545319,118146,249817,657684,160681,209793
545319,148146,159817,647670,95676,176914
545319,148146,189817,655157,119332,179589
545319,148146,219817,657946,139371,182217
545319,148146,249817,660987,162569,180975
545319,178146,159817,648462,94438,154219
545319,178146,189817,651852,120511,160002
545319,178146,219817,661599,141496,163101
545319,178146,279817,668122,186177,154225
545319,208146,159817,650876,99836,133118
545319,208146,189817,653588,123644,136545
545319,208146,219817,662626,145370,139901
545319,208146,279817,674128,185843,133263
545319,208146,309817,674567,212035,136191
545319,238146,159817,657210,109128,112449
545319,238146,189817,659032,129547,114673
545319,238146,219817,664224,148788,115484
545319,238146,279817,679005,190095,116058
545319,238146,309817,680745,215328,119055
545319,268146,159817,666213,116592,87999
